LOCALIDAD;CATEGORIA;ANO;MES;NUMERO_COMPARENDOS
ANTONIO NARINO;H;2016;SEPTIEMBRE;125
ANTONIO NARINO;H;2017;ABRIL;79
ANTONIO NARINO;H;2017;AGOSTO;124
ANTONIO NARINO;H;2017;ENERO;126
ANTONIO NARINO;H;2017;FEBRERO;122
ANTONIO NARINO;H;2017;JULIO;142
ANTONIO NARINO;H;2017;JUNIO;138
ANTONIO NARINO;H;2017;MARZO;107
ANTONIO NARINO;H;2017;MAYO;146
ANTONIO NARINO;H;2017;SEPTIEMBRE;87
ANTONIO NARINO;I;2015;AGOSTO;1
ANTONIO NARINO;I;2015;SEPTIEMBRE;1
ANTONIO NARINO;I;2016;ABRIL;1
ANTONIO NARINO;I;2016;AGOSTO;4
ANTONIO NARINO;I;2016;DICIEMBRE;2
ANTONIO NARINO;I;2016;FEBRERO;1
ANTONIO NARINO;I;2016;JUNIO;2
ANTONIO NARINO;I;2016;NOVIEMBRE;3
ANTONIO NARINO;I;2016;OCTUBRE;2
ANTONIO NARINO;I;2016;SEPTIEMBRE;2
ANTONIO NARINO;I;2017;ABRIL;1
ANTONIO NARINO;I;2017;AGOSTO;4
ANTONIO NARINO;I;2017;ENERO;4
ANTONIO NARINO;I;2017;FEBRERO;1
ANTONIO NARINO;I;2017;MARZO;1
ANTONIO NARINO;I;2017;MAYO;3
ANTONIO NARINO;I;2017;SEPTIEMBRE;4
ANTONIO NARINO;J;2016;MARZO;1
BARRIOS UNIDOS;A;2015;ABRIL;1
BARRIOS UNIDOS;A;2015;AGOSTO;3
BARRIOS UNIDOS;A;2015;DICIEMBRE;7
BARRIOS UNIDOS;A;2015;JULIO;11
BARRIOS UNIDOS;A;2015;MARZO;1
BARRIOS UNIDOS;A;2015;MAYO;13
BARRIOS UNIDOS;A;2015;NOVIEMBRE;5
BARRIOS UNIDOS;A;2015;OCTUBRE;8
BARRIOS UNIDOS;A;2015;SEPTIEMBRE;8
BARRIOS UNIDOS;A;2016;ABRIL;12
BARRIOS UNIDOS;A;2016;AGOSTO;23
BARRIOS UNIDOS;A;2016;DICIEMBRE;2
BARRIOS UNIDOS;A;2016;ENERO;21
BARRIOS UNIDOS;A;2016;FEBRERO;7
BARRIOS UNIDOS;A;2016;JULIO;4
BARRIOS UNIDOS;A;2016;JUNIO;9
BARRIOS UNIDOS;A;2016;MARZO;6
BARRIOS UNIDOS;A;2016;MAYO;22
BARRIOS UNIDOS;A;2016;NOVIEMBRE;4
BARRIOS UNIDOS;A;2016;OCTUBRE;2
BARRIOS UNIDOS;A;2016;SEPTIEMBRE;6
BARRIOS UNIDOS;A;2017;ABRIL;10
BARRIOS UNIDOS;A;2017;AGOSTO;34
BARRIOS UNIDOS;A;2017;ENERO;13
BARRIOS UNIDOS;A;2017;FEBRERO;101
BARRIOS UNIDOS;A;2017;JULIO;6
BARRIOS UNIDOS;A;2017;JUNIO;30
BARRIOS UNIDOS;A;2017;MARZO;47
BARRIOS UNIDOS;A;2017;MAYO;25
BARRIOS UNIDOS;A;2017;SEPTIEMBRE;15
BARRIOS UNIDOS;B;2015;ABRIL;19
BARRIOS UNIDOS;B;2015;AGOSTO;21
BARRIOS UNIDOS;B;2015;DICIEMBRE;57
BARRIOS UNIDOS;B;2015;ENERO;23
BARRIOS UNIDOS;B;2015;FEBRERO;15
BARRIOS UNIDOS;B;2015;JULIO;24
BARRIOS UNIDOS;B;2015;JUNIO;18
BARRIOS UNIDOS;B;2015;MARZO;19
BARRIOS UNIDOS;B;2015;MAYO;12
BARRIOS UNIDOS;B;2015;NOVIEMBRE;39
BARRIOS UNIDOS;B;2015;OCTUBRE;47
BARRIOS UNIDOS;B;2015;SEPTIEMBRE;33
BARRIOS UNIDOS;B;2016;ABRIL;23
BARRIOS UNIDOS;B;2016;AGOSTO;59
BARRIOS UNIDOS;B;2016;DICIEMBRE;34
BARRIOS UNIDOS;B;2016;ENERO;88
BARRIOS UNIDOS;B;2016;FEBRERO;49
BARRIOS UNIDOS;B;2016;JULIO;45
BARRIOS UNIDOS;B;2016;JUNIO;41
BARRIOS UNIDOS;B;2016;MARZO;24
BARRIOS UNIDOS;B;2016;MAYO;20
BARRIOS UNIDOS;B;2016;NOVIEMBRE;67
BARRIOS UNIDOS;B;2016;OCTUBRE;49
BARRIOS UNIDOS;B;2016;SEPTIEMBRE;108
BARRIOS UNIDOS;B;2017;ABRIL;49
BARRIOS UNIDOS;B;2017;AGOSTO;106
BARRIOS UNIDOS;B;2017;ENERO;84
BARRIOS UNIDOS;B;2017;FEBRERO;83
BARRIOS UNIDOS;B;2017;JULIO;65
BARRIOS UNIDOS;B;2017;JUNIO;60
BARRIOS UNIDOS;B;2017;MARZO;112
BARRIOS UNIDOS;B;2017;MAYO;86
BARRIOS UNIDOS;B;2017;OCTUBRE;3
BARRIOS UNIDOS;B;2017;SEPTIEMBRE;65
BARRIOS UNIDOS;C;2015;ABRIL;442
BARRIOS UNIDOS;C;2015;AGOSTO;459
BARRIOS UNIDOS;C;2015;DICIEMBRE;315
